id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
11282,Bastien,Grasshof,Guard,MSB,Le Mans Sarthe Basket,6,0,0,false,1,ARI,1,true,opponent
11283,Ugo,Doumbia,Guard,MSB,Le Mans Sarthe Basket,5.6,0,0,false,1,ARI,1,true,opponent
11284,Swann,Penda,Forward,MSB,Le Mans Sarthe Basket,4.2,0,0,false,1,ARI,1,true,opponent
11285,Ivan,Fevrier,Forward,LIE,Lietkabelis Panevezys,9.9,0,0,false,1,BOS,2,true,opponent
11286,Keondre,Kennedy,Forward,LIE,Lietkabelis Panevezys,9.5,0,0,false,1,BOS,2,true,opponent
11287,Ognjen,Jaramaz,Guard,LIE,Lietkabelis Panevezys,9,0,0,false,1,BOS,2,true,opponent
11288,Marius,Valinskas,Guard,LIE,Lietkabelis Panevezys,8.9,0,0,false,1,BOS,2,true,opponent
11289,Milos,Ilic,Center,LIE,Lietkabelis Panevezys,8.5,0,0,false,1,BOS,2,true,opponent
11290,Warren,Washington,Center,LIE,Lietkabelis Panevezys,8.4,0,0,false,1,BOS,2,true,opponent
11291,Alexander,Schumacher,Guard,LIE,Lietkabelis Panevezys,8.2,0,0,false,1,BOS,2,true,opponent
11292,Veljko,Ilic,Center,LIE,Lietkabelis Panevezys,7.8,0,0,false,1,BOS,2,true,opponent
11293,Nikola,Radicevic,Guard,LIE,Lietkabelis Panevezys,6.3,0,0,false,1,BOS,2,true,opponent
11294,Gytis,Nemeiksa,Forward,LIE,Lietkabelis Panevezys,6,0,0,false,1,BOS,2,true,opponent
11295,Tomas,Zdanavicius,Center,LIE,Lietkabelis Panevezys,5.7,0,0,false,1,BOS,2,true,opponent
11296,Zygimantas,Simonis,Guard,LIE,Lietkabelis Panevezys,5.5,0,0,false,1,BOS,2,true,opponent
11297,Daniel,Baslyk,Forward,LIE,Lietkabelis Panevezys,5,0,0,false,1,BOS,2,true,opponent
